Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,weeks_on_chart,English_percent
2NE1,1l0mKo96Jh9HVYONcRl3Yp,I Am the Best (?¥Í? ?úÏùº ???òÍ?),0duGEEnNcvRgkeoZVx6qFu,0.817,0.842,0,-3.727,1,0.0369,0.00873,0.00294,0.0498,0.741,127.98,210733,4,37.25,16,5.7
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Ugly,5FahFQNnmxqiWzJbDNmeIY,0.652,0.852,8,-2.746,1,0.078,0.196,0,0.218,0.519,127.959,248711,4,28.61538462,13,52.2
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Lonely,5BzfRtVjyC4wbISHdbCvWL,0.588,0.568,4,-2.787,1,0.0271,0.225,0,0.138,0.393,94.83,209987,4,32.38461538,13,41.98
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Hate You,75gfxN38PUOF2r22yTKCA5,0.703,0.85,4,-2.244,0,0.0353,0.00331,0,0.135,0.727,125.059,213147,4,35.41666667,12,17.63
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Don't Stop The Music,6gjyqBua3EQWqYT6GPJG9y,0.764,0.88,0,-4.908,1,0.145,0.0517,0.0114,0.053,0.468,119.976,229640,4,45.5,4,19.15
SISTAR,2wTLheTmMcFCA4hdY8hZJP,LONELY,7oLXIyY1ZUexU0zcr39Xj0,0.445,0.819,7,-3.324,0,0.0587,0.206,0,0.422,0.643,169.577,207932,4,36.69230769,13,17.84
SISTAR,2wTLheTmMcFCA4hdY8hZJP,FOR YOU,5ljeNLay7eeCkokmg8hYPz,0.625,0.72,11,-3.884,1,0.037,0.0904,0,0.135,0.377,81.961,232826,4,62,1,20.16
SISTAR,2wTLheTmMcFCA4hdY8hZJP,One More Day,0rJdLlV8HyChu3dhdgfFTW,0.534,0.903,5,-3.295,0,0.0733,0.0168,0,0.123,0.295,127.991,213352,4,75,1,48.66
SISTAR,2wTLheTmMcFCA4hdY8hZJP,SHAKE IT,59FBFyeST1vqN8G41YgFS6,0.778,0.957,11,-2.57,0,0.0735,0.0234,0,0.715,0.611,118.997,208507,4,32.84210526,19,41.27
SISTAR,2wTLheTmMcFCA4hdY8hZJP,Don't be such a baby (feat.Giriboy),7EkWUNXzRz3ETlO2c21VjA,0.604,0.863,9,-3.1,0,0.213,0.122,0,0.456,0.833,176.025,227388,4,47.75,4,4.36
SISTAR,2wTLheTmMcFCA4hdY8hZJP,GOOD TIME,6QOfTIKB5UYhok0GwTU3Xg,0.642,0.951,8,-1.901,1,0.229,0.194,2.95E-06,0.0416,0.869,141.001,190425,4,51,1,35.02
SISTAR,2wTLheTmMcFCA4hdY8hZJP,Bad Boy (feat.Mad Clown),4hYdktTTpoip0lKmD3GuHg,0.547,0.817,8,-2.933,0,0.175,0.176,0,0.172,0.546,153.383,234605,4,38.5,2,5.92
SISTAR,2wTLheTmMcFCA4hdY8hZJP,GO UP,6MIfLQ2wVMjd8aBkwozbVK,0.72,0.879,7,-3.014,1,0.137,0.143,0,0.178,0.904,128.082,201379,4,59,1,38.36
SISTAR,2wTLheTmMcFCA4hdY8hZJP,Hot Place (feat.Brave sound),2CCeSDTq0NHub7r0OMjfvT,0.833,0.923,0,-3.645,1,0.0909,0.0231,3.45E-06,0.129,0.692,123,202136,4,39.5,4,
PSY,2dd5mrQZvg6SmahdgVKDzh,Year of 77 (Feat. Leessang & Kim Jinpyo),6qxg0oUIoVV4cL5sxvE1kY,0.769,0.913,5,-4.75,1,0.208,0.0266,0,0.28,0.53,89.986,279061,4,72.66666667,3,
PSY,2dd5mrQZvg6SmahdgVKDzh,What Would Have Been? (Feat. Lena Park),5Kbpcd3hOqu4ZRAJNAjIcg,0.865,0.802,3,-3.853,1,0.0383,0.193,0,0.099,0.804,105.971,243964,4,67.61538462,13,
PSY,2dd5mrQZvg6SmahdgVKDzh,???∏Ï?,1s00ylTPijmJAAWCtXz3yM,0.821,0.9,7,-3.444,1,0.0999,0.0652,0,0.362,0.653,129.964,197277,4,81,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Don't fight the feeling,42fR3oINF3KfXCDtheoNiY,0.707,0.838,9,-2.983,0,0.117,0.0585,0,0.095,0.832,128.007,176547,4,109,4,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Paradise,0KDCkxCsEBoSWj5fsyuvWq,0.799,0.731,6,-2.777,0,0.0743,0.351,0,0.0903,0.648,111.991,217320,4,106,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,No matter,5fumVsa0IxAEJvHHu2F2k5,0.712,0.837,4,-2.893,0,0.0539,0.0595,0,0.209,0.433,97.977,222933,4,121,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Runaway,238Ra1ggmx3wUkHyZ8EjST,0.425,0.723,0,-3.928,1,0.0685,0.264,0,0.121,0.31,179.848,207733,4,126,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Just as usual,64xTu0cKbXu3ZSRkfXiBnx,0.663,0.487,4,-5.933,1,0.0308,0.402,0,0.354,0.584,94.115,207333,4,117,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Universe,5ptViFrfoKdGPTdd9oQCwr,0.38,0.439,3,-5.529,1,0.0314,0.603,0,0.133,0.146,139.805,264366,4,37,3,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Been Through,5pesNiBKAx8JNwK2mQ2HEc,0.629,0.575,6,-5.763,0,0.0354,0.235,0,0.0935,0.239,136.053,218090,4,39.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Stay,7qA1ly9O3kKuUIJD3Ia4u3,0.792,0.741,8,-6.862,0,0.113,0.464,1.46E-06,0.154,0.341,111.996,230958,4,48,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Fall,7LDuJCCn3GQyXvqfakUTHx,0.665,0.586,9,-6.724,0,0.048,0.207,0,0.0946,0.343,137.873,207246,4,55.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Lights Out,1xEGxyC38Ms7uq5C5jlgXD,0.521,0.278,9,-9.541,1,0.0447,0.903,0,0.0714,0.19,71.99,186325,3,62.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Power,53YZi9zgTnF0Py0K6ejyWz,0.657,0.943,7,-3.031,1,0.0856,0.0315,0,0.149,0.76,127.958,222406,4,57.81818182,11,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Sweet Lies,4KMkvQ4pukipifwyjc8fAH,0.59,0.592,1,-7.146,1,0.0758,0.0456,0,0.104,0.211,102.857,216200,4,50,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Boomerang,2PJtID9J7J2IU5XYUiadNh,0.8,0.776,0,-3.009,1,0.0334,0.202,0,0.0929,0.791,110.026,180386,4,52.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,For Life,31PzY79H10HCgJs533Xq6B,0.517,0.353,3,-6.522,1,0.0268,0.887,6.35E-06,0.0997,0.265,91.736,238660,4,65,5,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Falling For You,24XLVxCLOhNEsjGBUrECsc,0.698,0.867,6,-3.527,0,0.0524,0.24,0,0.0999,0.883,99.501,204055,4,57.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,What I Want For Christmas,6LYw9XyG9AQSQF178FKjIO,0.327,0.527,4,-4.485,0,0.0522,0.417,0,0.362,0.142,189.052,202058,3,18,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Twenty Four,3MAW23lyl0zeIcA3DK9YAY,0.779,0.811,6,-4.408,0,0.0676,0.213,0,0.0901,0.306,124.959,220020,4,26,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Winter Heat,6scVKMrtlTKGTGVdgyftaa,0.753,0.851,5,-3.693,0,0.0497,0.191,0,0.136,0.516,121.971,215811,4,24,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Unfair,78bSWIqoNPdJB8QpCVkv0K,0.668,0.877,5,-3.24,0,0.0364,0.0879,0,0.154,0.781,97.984,182322,4,48.54545455,11,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Sing For You,7htOPFqaCfI6j5ssnz2cla,0.341,0.288,8,-7.544,1,0.0335,0.852,0,0.363,0.443,170.202,235036,3,45.5,14,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Girl x Friend,1mMI14irOrynB5yvQY1Taz,0.493,0.846,0,-4.829,1,0.198,0.103,0,0.215,0.433,94.278,221672,4,56.66666667,6,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Î∞úÏ?Íµ?On the snow,61limJA2zOeHiYkKJHOFtB,0.539,0.698,3,-5.121,1,0.0522,0.201,0,0.0428,0.464,170.095,203328,4,66.4,5,
EXO,3cjEqqelV9zb4BYE3qDQ4O,LIGHTSABER - Bonus Track,6p924OVSxA7wDlQ6mmvA5d,0.649,0.832,5,-4.552,0,0.086,0.13,0,0.414,0.58,139.986,184935,4,53,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,LIGHTSABER,0WgIKcomgCpfSvTHRT43aW,0.649,0.832,5,-4.552,0,0.086,0.13,0,0.414,0.58,139.986,184935,4,31.5,2,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Miracles in December,7HrCnwDvbtCKSZtpNDmII9,0.587,0.314,8,-7.62,1,0.0313,0.677,0,0.137,0.211,119.797,273288,4,31,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,Christmas Day,5KkqyiAZr8QT6zscgM2pJf,0.715,0.483,8,-5.857,1,0.0466,0.379,0,0.151,0.498,107.95,226467,4,80,1,
EXO,3cjEqqelV9zb4BYE3qDQ4O,The First Snow,2VNpT9fRk1kyksT0S4coZR,0.636,0.674,7,-6.623,0,0.0444,0.00542,0,0.145,0.814,82.985,207668,4,115.375,8,
NU'EST,1iQfn1B8V25iQoolQakyAZ,Moon Dance,36eS6VwpO4kVvWJIhHeq87,0.479,0.518,9,-7.19,1,0.05,0.764,0,0.175,0.516,89.073,219960,4,195,1,
NU'EST,1iQfn1B8V25iQoolQakyAZ,Daybreak,0hK90i73D6LlCXrSIVw70e,0.541,0.65,6,-5.393,0,0.0402,0.649,0,0.104,0.592,179.82,221125,4,91,1,
NU'EST,1iQfn1B8V25iQoolQakyAZ,Beautiful Ghost,61WM2WWXd8nlMkh3JiCrrG,0.68,0.841,5,-4.851,1,0.0442,0.0123,0,0.202,0.676,98.007,246912,4,57.33333333,6,
VIXX,5BkB3rXc0qIdUtuEnhbK0A,Black Out,0Ru4Dn7hyWiOKHb00yCFuU,0.641,0.832,4,-4.285,0,0.062,0.0737,0,0.0551,0.396,106.089,189925,4,98,1,
